area,ciudad,conglomerado,panelm,vivienda,hogar,p01,p02,p03,p04,p05a,p05b,p06,p07,p08,p09,p10a,p10b,p11,p12a,p12b,p15,p15aa,p15ab,cod_inf,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p42a,p43,p44a,p44b,p44c,p44d,p44e,p44f,p44g,p44h,p44i,p44j,p44k,p45,p46,p47a,p47b,p48,p49,p50,p51a,p51b,p51c,p52,p53,p54,p54a,p55,p56a,p56b,p57,p58,p61b1,p63,p64a,p64b,p65,p66,p67,p68a,p68b,p69,p70a,p70b,p71a,p71b,p72a,p72b,p73a,p73b,p74a,p74b,p75,p76,p77,p78,sd01,sd021,sd022,sd023,sd024,sd025,sd026,sd027,sd028,sd029,sd0210,sd0211,sd03,ced01a,estrato,fexp,nnivins,ingrl,ingpc,condact,empleo,desempleo,secemp,grupo1,rama1,prov,dominio,pobreza,epobreza,upm,id_vivienda,id_hogar,id_persona,periodo,mes
2,170184,170184,70,6,1,3,1,23,7,1,10,6,2, ,11,7,3, , , ,6,2,50150,2,1, , , ,40, ,1,4, , , , , , , , , , , , ,4520,7231,2, ,2,2,2,2,1,2,1,2,2,2,1,1,3,1,1,5,2,1,1,40, , , , , , , , , , , ,1, , , , ,425,45,2, , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,1723,"32,517821314999",4,470.0,470,1,1, ,1,7,7,17,6,0,0,170184906503,1701849065030700612,17018490650307006112,1701849065030700610312,202512,12
1,170150,170150,62,2,1,3,1,22,3,10,10,6,1,1, ,9,1, ,2, ,6,1, ,1,1, , , ,20,1, ,4, , , , , , , , , , , , ,4711,5223,2, ,3,2,2,2,2,2,2,2,2,2,2,2,0,1,2, , , ,1,20, , , , , , , , , , , ,5, , , , ,300,0,2, , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2512,"118,307464092195",5,300.0,"411,428571428571",4,1, ,1,5,7,17,1,0,0,170150297402,1701502974020620201,17015029740206202101,1701502974020620210301,202501,1
1,170150,170150,68,4,1,2,1,23,3,10,10,6,2, ,3,7,3, , , ,6,1, ,1,1, , , ,40, ,1,4, , , , , , , , , , , , ,4520,7231,2, ,3,1,2,2,2,2,2,2,2,1,2,2,2,1,1,3,1,1,1,40, , , , , , , , , , , ,5, , , , ,460,0,1,75, , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2513,"41,7512639789908",4,535.0,164,1,1, ,1,7,7,17,1,0,0,170150369402,1701503694020680407,17015036940206804107,1701503694020680410207,202507,7
1,170150,170150,69,6,1,2,2,22,3,2,10,6,2, ,7,7,3, , , ,6,1, ,1,2,12,2, , , , , , , , , ,11, ,11, ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2512,"51,5510002235855",4,0.0,"482,5",9, , , , , ,17,1,0,0,170150093701,1701500937010690611,17015009370106906111,1701500937010690610211,202511,11
1,170150,170150,76,4,1,3,1,29,3,1,10,6,2, ,2,9,5, ,1,30910205,6,1, ,4,1, , , ,40, ,1,4, , , , , , , , , , , , ,8610,2211,1, ,1,1,2,2,1,2,1,2,2,1,1,1,1,1,2, , , ,1,40, , , , , , , , , , , ,1, , , , ,2000,120,1,65, , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2511,"15,2486391023179",5,2185.0,"1117,5",1,1, ,1,2,17,17,1,0,0,170150074901,1701500749010760412,17015007490107604112,1701500749010760410312,202512,12
1,170150,170150,65,4,1,2,2,29,3,2,10,6,2, ,2,9,4, ,1,31020202,6,1, ,2,1, , , ,40, ,1,4, , , , , , , , , , , , ,8690,2264,6,2, , , , , , , , , , , , ,3,8,1,1,2,1,1,40, , , , , , , , , , , ,2,600,2, ,150, , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2511,"21,1845254590289",5,450.0,625,4,1, ,1,2,17,17,1,0,0,170150002106,1701500021060650404,17015000210606504104,1701500021060650410204,202504,4
1,170155,170155,73,2,1,3,1,20,3,10,10,6,1,1, ,7,3, , , ,6,1, ,2,2,12,2, , , , , , , , , ,11, ,9, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,1713,"57,0666071483021",4,0.0,200,9, , , , , ,17,6,0,0,170155020903,1701550209030730209,17015502090307302109,1701550209030730210309,202509,9
1,170150,170150,53,1,1,4,2,20,7,10,10,6,1,5, ,7,3, , , ,6,1, ,2,2,12,2, , , , , , , , , ,11, ,9, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2511,"41,2515111243099",4,0.0,"151,25",9, , , , , ,17,1,0,0,170150387501,1701503875010530101,17015038750105301101,1701503875010530110401,202501,1
1,170150,170150,72,1,1,2,1,20,3,10,10,6,1,5, ,7,3, , , ,6,1, ,2,1, , , ,20,1, ,4, , , , , , , , , , , , ,4789,5211,6,2, , , , , , , , , , , , ,1,9,1,1,3,1,1,20, , , , , , , , , , , ,5,400,2, ,300, , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2512,"34,6259010743386",4,100.0,1015,4,1, ,1,5,7,17,1,0,0,170150260002,1701502600020720108,17015026000207201108,1701502600020720110208,202508,8
1,170150,170150,62,2,1,3,1,19,3,10,10,6,2, ,5,7,3, , , ,6,1, ,3,1, , , ,45, ,1,4, , , , , , , , , , , , ,1622,7115,2, ,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,1,1,45, , , , , , , , , , , ,5, , , , ,400,0,1,60, , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2512,"24,1481002256975",4,460.0,"367,5",1,1, ,1,7,3,17,1,0,0,170150378105,1701503781050620201,17015037810506202101,1701503781050620210301,202501,1
1,170150,170150,54,2,1,1,1,26,1,1,10,6,2, ,5,7,3, , , ,6,1, ,1,1, , , ,30,1, ,4, , , , , , , , , , , , ,5221,5230,2, ,3,2,2,2,1,2,1,2,2,2,1,1,0,1,1,60,1,1,1,30, , , , , , , , , , , ,1, , , , ,425,45,2, , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2512,"38,6994917371009",4,470.0,345,1,1, ,1,5,8,17,1,0,0,170150380905,1701503809050540207,17015038090505402107,1701503809050540210107,202507,7
1,170151,170151,65,4,1,3,2,21,3,5,10,6,1,1, ,9,3, ,2, ,6,2,170150,2,2,12,2, , , , , , , , , ,11, ,9, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,1712,"19,9011551153904",5,0.0,1125,9, , , , , ,17,6,0,0,170151004003,1701510040030650407,17015100400306504107,1701510040030650410307,202507,7
1,170150,170150,73,8,1,1,1,28,1,10,10,5,2, ,5,7,2, , , ,6,1, ,2,1, , , ,48, ,1,4, , , , , , , , , , , , ,4781,5211,6,2, , , , , , , , , , , , ,10,4,1,1,3,2,1,48, , , , , , , , , , , ,5,1200,2, ,600, , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2512,"11,567148069235",4,600.0,200,1,1, ,2,5,7,17,1,0,0,170150265703,1701502657030730809,17015026570307308109,1701502657030730810109,202509,9
1,170950,170950,55,3,1,2,2,22,5,10,10,6,2, ,13,7,3, , , ,6,2,90150,2,1, , , ,40, ,1,4, , , , , , , , , , , , ,4771,5223,8, , , , , , , , , , , , , ,0,8,1,4,2,1,1,40, , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,1,50,2, ,2, ,2, , , , , , , , , , , , , , ,1,1711,"48,025134713134",4,0.0,"233,333333333333",5,1, ,1,5,7,17,6,0,0,170950001001,1709500010010550311,17095000100105503111,1709500010010550310211,202511,11
1,170150,170150,55,9,1,1,1,29,1,1,10,1,2, ,3,9,5, ,2, ,6,1, ,1,1, , , ,40, ,1,4, , , , , , , , , , , , ,1410,3122,2, ,3,2,2,2,1,2,1,2,2,2,1,1,10,1,1,50,1,1,1,40, , , , , , , , , , , ,1, , , , ,600,180,2, , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2512,"17,4383666506276",5,780.0,"660,333333333333",1,1, ,1,3,3,17,1,0,0,170150033902,1701500339020550911,17015003390205509111,1701500339020550910111,202511,11
1,170150,170150,66,8,1,4,2,27,3,1,10,6,2, ,11,9,4, ,2, ,6,1, ,1,1, , , ,35,1, ,4, , , , , , , , , , , , ,9311,5223,2, ,2,2,2,2,1,2,1,2,2,2,1,1,1,1,1,6,1,1,1,35, , , , , , , , , , , ,1, , , , ,380,45,2, , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2511,"21,5600430863647",5,425.0,"223,75",4,1, ,1,5,18,17,1,0,0,170150143801,1701501438010660808,17015014380106608108,1701501438010660810408,202508,8
