area,ciudad,conglomerado,panelm,vivienda,hogar,p01,p02,p03,p04,p05a,p05b,p06,p07,p08,p09,p10a,p10b,p11,p12a,p12b,p15,p15aa,p15ab,cod_inf,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p42a,p43,p44a,p44b,p44c,p44d,p44e,p44f,p44g,p44h,p44i,p44j,p44k,p45,p46,p47a,p47b,p48,p49,p50,p51a,p51b,p51c,p52,p53,p54,p54a,p55,p56a,p56b,p57,p58,p61b1,p63,p64a,p64b,p65,p66,p67,p68a,p68b,p69,p70a,p70b,p71a,p71b,p72a,p72b,p73a,p73b,p74a,p74b,p75,p76,p77,p78,sd01,sd021,sd022,sd023,sd024,sd025,sd026,sd027,sd028,sd029,sd0210,sd0211,sd03,ced01a,estrato,fexp,nnivins,ingrl,ingpc,condact,empleo,desempleo,secemp,grupo1,rama1,prov,dominio,pobreza,epobreza,upm,id_vivienda,id_hogar,id_persona,periodo,mes
1,170150,170150,65,5,1,1,1,30,1,1,10,1,2, ,5,7,3, , , ,5,2,120850,2,1, , , ,50, ,1,4, , , , , , , , , , , , ,2395,8114,2, ,2,2,2,2,1,1,1,2,2,2,1,1,8,1,2, , , ,1,50, , , , , , , , , , , ,1, , , , ,550,600,1,20, , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2513,"89,6761669860873",4,1170.0,585,1,1, ,1,8,3,17,1,0,0,170150355403,1701503554030650507,17015035540306505107,1701503554030650510107,202507,7
1,170150,170150,53,3,1,5,1,30,7,10,10,6,2, ,2,9,4, ,1,30110401,6,2,110650,1,1, , , ,40, ,1,3,1,10,1,3, , , , , , , , ,4711,5223,7, , , , , , , , , , , , , ,6,6,1,2,3,2,1,40, , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2513,"16,7742296273273",5,0.0,316,5,1, ,2,5,7,17,1,0,0,170150161402,1701501614020530304,17015016140205303104,1701501614020530310504,202504,4
2,170175,170175,71,6,1,3,1,32,3,10,10,6,2, ,2,9,5, ,1,30710301,6,2,170185,1,2,12,2, , , , , , , , , ,9,3, , , ,1,5,3,4100,9313,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,1,300,2, ,2, ,2, ,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1722,"29,2899385667068",5,0.0,"308,75",7, ,1, , , ,17,6,0,0,170175901801,1701759018010710607,17017590180107106107,1701759018010710610307,202507,7
1,170150,170150,53,4,1,1,2,31,1,1,10,6,2, ,2,10,2, ,1,50720502,6,1, ,1,2,12,1,1,40, ,1,4, , , , , , , , , , , , ,3510,2151,1, ,1,1,2,1,1,1,1,2,2,2,1,1,3,1,2, , , ,1,40, , , , , , , , , , , ,1, , , , ,2000,400,1,140, , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2511,"35,7636242061968",5,2540.0,1280,1,1, ,1,2,4,17,1,0,0,170150161502,1701501615020530401,17015016150205304101,1701501615020530410101,202501,1
2,170850,170850,69,2,1,1,1,32,1,1,10,5,2, ,5,4,6,1, , ,6,2,130350,2,1, , , ,30,1, ,2,1,10,7, , , , , , , , , ,129,6112,2, ,2,2,2,2,1,2,1,2,2,2,1,1,16,11,1,10,1,1,1,30, , , , , , , , , , , ,1, , , , ,210,25,2, , , , ,2, ,2, ,1,100,2, ,2, ,2, , , , , , , , , , , , , , ,1,1721,"171,935048311609",3,235.0,78,2,1, ,1,6,1,17,6,1,0,170850901502,1708509015020690208,17085090150206902108,1708509015020690210108,202508,8
1,170157,170157,54,3,1,1,1,32,1,10,10,5,2, ,5,6,6, , , ,6,2,120650,2,1, , , ,24,1, ,1,1,16,7, , , , , , , , , ,8130,6113,2, ,3,1,2,2,2,2,2,2,2,2,2,2,2,8,1,3,3,2,1,24, , , , , , , , , , , ,5, , , , ,300,0,1,30, , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,1713,"92,3898382246102",4,330.0,"128,333333333333",2,1, ,2,6,14,17,6,0,0,170157072402,1701570724020540304,17015707240205403104,1701570724020540310104,202504,4
1,170150,170150,66,10,1,2,2,33,2,10,10,1,2, ,3,6,6, , , ,6,2,110850,1,2,12,2, , , , , , , , , ,11, ,9, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2513,"68,5501146391172",4,0.0,"152,5",9, , , , , ,17,1,0,0,170150364601,1701503646010661005,17015036460106610105,1701503646010661010205,202505,5
1,170150,170150,72,2,1,1,1,35,1,2,10,5,2, ,3,4,6,1, , ,4,2,80163,1,1, , , ,24,3, ,1,1,25,1,4, , , , , , , , ,2511,7212,2, ,2,2,2,2,2,2,2,2,2,2,2,2,10,1,1,5,3,2,1,40, , , , , , , , , , , ,2, , , , ,470,0,2, , , , ,2, ,2, ,1,120,2, ,2, ,2, , , , , , , , , , , , , , ,1,2512,"71,6878477100075",3,470.0,"197,5",2,1, ,2,7,3,17,1,0,0,170150258201,1701502582010720211,17015025820107202111,1701502582010720210111,202511,11
1,170150,170150,65,6,1,1,2,31,1,10,10,6,2, ,5,6,6, , , ,6,1, ,1,1, , , ,42, ,1,4, , , , , , , , , , , , ,4799,9520,6,2, , , , , , , , , , , , ,10,3,1,1,3,2,1,42, , , , , , , , , , , ,5,500,1,50,350, , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2513,"89,6761669860873",4,200.0,152,4,1, ,2,9,7,17,1,0,0,170150355403,1701503554030650607,17015035540306506107,1701503554030650610107,202507,7
1,170150,170150,66,2,1,2,2,35,2,1,10,5,2, ,5,6,6, , , ,6,2,40150,1,1, , , ,40, ,1,4, , , , , , , , , , , , ,1410,7531,2, ,2,2,2,2,1,2,1,2,2,2,1,1,5,1,1,15,1,1,1,40, , , , , , , , , , , ,1, , , , ,425,45,2, , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2513,"44,7558518885967",4,470.0,"363,333333333333",1,1, ,1,7,3,17,1,0,0,170150148803,1701501488030660208,17015014880306602108,1701501488030660210208,202508,8
1,170180,170180,69,4,1,2,2,31,2,10,10,1,2, ,8,6,6, , , ,6,2,130150,2,2,12,2, , , , , , , , , ,11, ,9, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,2, ,2, ,1,55,2, , , , , , , , , , , , , , ,1,1713,"233,302593038504",4,0.0,83,9, , , , , ,17,6,1,0,170180105103,1701801051030690411,17018010510306904111,1701801051030690410211,202511,11
2,170153,170153,72,9,1,3,2,30,3,1,10,6,2, ,5,7,3, , , ,6,1, ,5,1, , , ,48, ,1,4, , , , , , , , , , , , ,119,6113,2, ,2,1,2,1,1,2,1,2,2,2,1,1,3,11,2, , , ,1,48, , , , , , , , , , , ,1, , , , ,470,43,1,90, , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,1721,"34,0761891820453",4,603.0,"186,9",1,1, ,1,6,1,17,6,0,0,170153900103,1701539001030720908,17015390010307209108,1701539001030720910308,202508,8
1,170150,170150,69,4,1,2,2,35,2,10,10,5,2, ,3,6,6, , , ,6,1, ,2,2,12,2, , , , , , , , , ,11, ,9, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2513,"128,678879036151",4,0.0,76,9, , , , , ,17,1,1,0,170150027501,1701500275010690408,17015002750106904108,1701500275010690410208,202508,8
1,170150,170150,53,3,1,1,1,31,1,1,10,1,2, ,2,10,2, ,1,50410202,4,2,90150,1,1, , , ,40, ,1,4, , , , , , , , , , , , ,4530,2411,2, ,2,1,2,1,1,2,1,2,2,2,1,1,8,1,1,7,1,1,1,40, , , , , , , , , , , ,1, , , , ,1000,100,1,90, , , ,2, ,2, ,1,200,2, ,2, ,2, , , , , , , , , , , , , , ,1,2511,"12,9581044686719",5,1190.0,1820,1,1, ,1,2,7,17,1,0,0,170150039904,1701500399040530304,17015003990405303104,1701500399040530310104,202504,4
1,170150,170150,71,9,1,1,2,33,1,10,10,5,2, ,3,6,5, , , ,6,1, ,1,2,12,2, , , , , , , , , ,11, ,8, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2513,"121,832325989729",4,0.0,69,9, , , , , ,17,1,1,0,170150219803,1701502198030710907,17015021980307109107,1701502198030710910107,202507,7
1,170150,170150,71,8,1,2,1,32,2,10,10,5,2, ,5,4,6,1, , ,6,1, ,1,1, , , ,40, ,1,4, , , , , , , , , , , , ,4100,7112,4, ,6,2,2,2,2,2,2,2,2,2,2,2,10,2,1,5,3,2,1,40, , , , , , , , , , , ,5, , , , ,700,0,2, , , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2513,"116,442028897334",3,700.0,"255,666666666667",1,1, ,2,7,6,17,1,0,0,170150252703,1701502527030710807,17015025270307108107,1701502527030710810207,202507,7
2,170152,170152,54,5,1,3,2,31,4,10,10,5,2, ,2,8,3, ,1,20110103,6,1, ,1,1, , , ,40, ,1,4, , , , , , , , , , , , ,8510,2342,2, ,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,4,2,1,1,40, , , , , , , , , , , ,5, , , , ,300,0,2, , , , ,2, ,2, ,2, ,1,50,2, ,2, , , , , , , , , , , , , , ,1,1722,"28,5675118832277",5,300.0,"212,5",4,1, ,1,2,16,17,6,0,0,170152900301,1701529003010540507,17015290030105405107,1701529003010540510307,202507,7
1,170150,170150,73,4,1,3,2,32,3,1,10,5,2, ,2,8,3, ,1,20410304,6,1, ,3,1, , , ,40, ,1,4, , , , , , , , , , , , ,6419,1346,2, ,2,1,2,2,1,1,1,2,2,1,1,1,12,1,2, , , ,1,40, , , , , , , , , , , ,1, , , , ,1470,120,1,90, , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2513,"773,78792118938",5,1680.0,"617,142857142857",1,1, ,1,1,11,17,1,0,0,170150035603,1701500356030730409,17015003560307304109,1701500356030730410309,202509,9
1,170150,170150,62,5,1,4,2,34,4,1,10,5,2, ,5,6,6, , , ,6,1, ,2,1, , , ,20,1, ,4, , , , , , , , , , , , ,5621,1412,2, ,2,1,2,2,1,2,1,2,2,2,1,1,5,1,1,5,3,2,1,20, , , , , , , , , , , ,1, , , , ,525,52,1,60, , , ,2, ,2, ,2, ,2, ,2, ,2, , , , , , , , , , , , , , ,1,2513,"45,8235590433533",4,637.0,"241,4",1,1, ,2,1,9,17,1,0,0,170150135601,1701501356010620504,17015013560106205104,1701501356010620510404,202504,4
1,170150,170150,65,5,1,2,2,31,3,10,10,6,2, ,2,8,3, ,1,20910902,6,1, ,1,2,12,2, , , , , , , , , ,8,48, , , ,1,5,48,8690,3230,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, ,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2512,"41,746994948633",5,0.0,"319,333333333333",7, ,1, , , ,17,1,0,0,170150071802,1701500718020650507,17015007180206505107,1701500718020650510207,202507,7
